@relation weather.symbolic

@attribute outlook {sunny, overcast, rainy}
@attribute temperature {hot, mild, cool}
@attribute humidity {high, normal}
@attribute windy {TRUE, FALSE}
@attribute play {yes, no}

@data
sunny,hot,high,FALSE,yes
sunny,hot,high,TRUE,yes
rainy,mild,high,FALSE,yes
rainy,mild,high,FALSE,yes
rainy,cool,normal,TRUE,yes
rainy,mild,normal,TRUE,no
sunny,hot,high,TRUE,no
sunny,hot,normal,FALSE,no
rainy,mild,normal,FALSE,yes
overcast,mild,normal,TRUE,yes
overcast,hot,high,TRUE,yes
overcast,hot,normal,FALSE,yes
rainy,mild,high,TRUE,yes
overcast,hot,high,FALSE,yes
sunny,mild,normal,FALSE,yes
rainy,mild,high,TRUE,no

rainy,mild,normal,FALSE,yes
sunny,mild,normal,TRUE,yes
overcast,hot,high,TRUE,yes
overcast,hot,normal,FALSE,yes

overcast,hot,normal,FALSE,yes
rainy,mild,high,TRUE,yes
overcast,hot,normal,FALSE,yes
rainy,mild,normal,TRUE,yes
rainy,mild,high,TRUE,yes

